country,date,GDP,Households and NPISHs Final consumption expenditure (% of GDP),"Foreign direct investment, net inflows (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP)
Turkey,2020,720101212394.114,56.7462665474106,,28.5692307413065,32.3251497818377
Turkey,2019,761428183369.171,56.8733934682782,1.21692369712397,32.7414044226863,29.9414593149416
Turkey,2018,778377023568.884,56.1686634121215,1.64727370050194,31.2048629463635,31.3425438444668
Turkey,2017,858996263095.858,58.6088505385299,1.28545378768054,26.0394223439924,29.7227464055755
Turkey,2016,869692960365.551,59.4083513843907,1.59079130572528,23.0835091311263,25.244677102771
Turkey,2015,864316670330.882,60.0216142959691,2.2286970344591,24.5312773389092,26.557266261846
Turkey,2014,938952628604.067,60.3677746444678,1.42041244613458,25.2055416974053,28.560759468849
Turkey,2013,957783020853.031,61.303434293387,1.41608273530683,23.7930095050818,28.7342892947321
Turkey,2012,880556375779.51,61.9100689903335,1.56083135368058,24.3608755208614,28.4699271358616
Turkey,2011,838762755164.179,62.713087397226,1.92927021382018,22.9937012536403,30.3104743820065
Turkey,2010,776992599946.766,62.6791266016273,1.17105362401436,21.1941333155525,25.500331910756
Turkey,2009,649272568774.193,61.5724651090261,1.32224899262389,23.3701991459541,23.4168678008097
Turkey,2008,770462156204.38,61.0803657877035,2.57650552206151,23.5662909262571,26.9819629689095
Turkey,2007,681337335021.874,62.0805770000893,3.23584205161635,21.8895256942149,25.9612910545714
Turkey,2006,557057829051.453,61.7169793482089,3.62350171693496,22.3948339423242,26.3680371283665
Turkey,2005,506308311476.63,63.4002327896553,1.98120389743256,21.8762675597935,24.2660894922529
Turkey,2004,408876042651.701,64.2794163931876,0.681135529961189,23.6247532110161,25.2010849398704
Turkey,2003,314592428076.487,65.3136994061237,0.54101747152865,23.0061778959535,23.2189197311388
Turkey,2002,240253216295.117,63.828900453742,0.450358174881171,25.1051190164424,22.8772750323154
Turkey,2001,201751148417.102,64.8362363870526,1.66145274824907,27.1819418753369,22.6895332634566
Turkey,2000,274302959053.103,66.9451778576081,0.357998325424514,19.8811989046161,22.4732381343953
Turkey,1999,256385525071.633,66.0356264962833,0.305399456455755,18.8109124989818,18.8540095139507
Turkey,1998,275967393939.394,64.5688760371167,0.340619950270805,20.6662298719224,19.7291807164624
Turkey,1997,189834649111.257,68.0370903291771,0.4240532504307,24.5817176843052,30.3886058880971
Turkey,1996,181475555282.555,67.2733764198428,0.397849726303829,21.5426581369532,27.8266567494196
Turkey,1995,169485941048.035,70.3115435332381,0.522167204269278,19.8916075029397,24.3510272476774
Turkey,1994,130690172297.297,69.9576605914789,0.465222433571291,21.3621312072128,20.3837211337284
Turkey,1993,180169736363.636,69.0933867361742,0.376311812229993,13.673802849848,19.3432849256138
Turkey,1992,158459130434.783,69.5333958923254,0.532629453212459,14.3922357339889,17.345129910515
Turkey,1991,150027833333.333,70.6013122326984,0.539899818589217,13.8411301141106,16.6348815592789
Turkey,1990,150676291094.21,68.5804617206219,0.474527209826892,13.3651028519296,17.5778926485052
Turkey,1989,107143348667.094,65.6069599369006,0.618797161231177,16.2029157514894,17.7807524857703
Turkey,1988,90852814004.9917,63.4943064202222,0.389641205808496,18.6539704158267,17.5528634276008
Turkey,1987,87172789528.3316,68.2778409007266,0.13192189973756,15.580840422955,17.7574446045938
Turkey,1986,75728009962.7878,53.9617809954326,0.165064419441927,13.3124377193893,16.1020217583248
Turkey,1985,67234948264.5987,58.2017637588865,0.14724485190409,15.8607228847003,18.9662492342323
Turkey,1984,59989909457.8379,63.0737688149802,0.188365011751549,15.6066026885362,19.6735024162276
Turkey,1983,61678280115.4987,62.2768916567188,0.0745805491233874,12.4732126163184,16.5578391750205
Turkey,1982,64546332580.7583,59.4241436495683,0.0852101084615238,11.8640513905568,15.0168696746154
Turkey,1981,71040020140.4436,59.2330084799393,0.133727439564612,8.23693203391976,12.9046956081509
Turkey,1980,68789289565.7434,61.1535961457577,0.0261668642220778,5.16193170955531,11.927885902191
Turkey,1979,89394085658.2038,55.4731651128469,0.0838981678125337,3.21802670890177,5.88171772074439
Turkey,1978,65147022485.7919,57.9366584487009,0.0521896453631709,4.14691194133637,7.28870345786712
Turkey,1977,58676813687.3681,57.1428571428571,0.0460147685316671,3.81520401401117,10.7071854586765
Turkey,1976,51280134554.2889,56.0738581146744,0.0195007288629738,4.85908649173955,10.6656948493683
Turkey,1975,44633707242.7642,58.9512876202296,0.255412348743407,4.42134657151722,11.231771641328
Turkey,1974,35599913836.4328,61.0326744655103,0.179775716014522,5.72811617587737,11.2747075433643
Turkey,1973,25724381625.4417,57.8296703296703,0.307101648351648,7.03296703296703,9.09340659340659
Turkey,1972,20431095406.3604,56.5202352127292,0.210463507436873,6.01867865790384,8.54375648564511
Turkey,1971,16256619963.7997,56.2061855670103,0.27681030927835,5.31958762886598,8.24742268041237
Turkey,1970,17086956521.7391,51.9592875318066,0.339440203562341,4.42748091603053,6.36132315521628
Turkey,1969,19466666666.6667,51.1986301369863,,3.5958904109589,4.73744292237443
Turkey,1968,17500000000.0,51.1111111111111,,3.68253968253968,5.07936507936508
Turkey,1967,15644444444.4444,51.2784090909091,,4.11931818181818,4.97159090909091
Turkey,1966,14100000000.0,52.0882584712372,,4.09771473601261,5.67375886524823
Turkey,1965,11966666666.6667,52.4605385329619,,4.54967502321263,5.38532961931291
Turkey,1964,11177777777.7778,53.5785288270378,,4.47316103379722,5.46719681908549
Turkey,1963,10355555555.5556,54.9356223175966,,4.18454935622318,6.97424892703863
Turkey,1962,8922222222.22222,55.4171855541719,,5.60398505603985,7.97011207970112
Turkey,1961,7988888888.88889,56.3282336578581,,5.14603616133519,6.81502086230876
Turkey,1960,13995067817.5092,56.3876651982379,,2.05580029368576,3.67107195301028
